id,value,color
0,6,2
1,13,2
2,11,2
3,3,2
4,2,2
5,19,2
6,2,7
7,2,2
8,2,2
9,2,2
10,2,2
11,9,4
12,12,2
13,5,2
14,9,2
15,3,2
16,9,5
17,4,2
18,11,2
19,2,2
20,2,2
21,2,5
22,5,2
23,2,7
24,2,3
25,3,2
26,3,3
27,3,2
28,3,6
29,6,2
30,6,3
31,3,3
32,3,2
33,3,3
34,4,2
35,2,2
36,2,6
37,3,3
38,7,2
39,2,4
40,5,3
41,3,2
42,2,3
43,2,2
44,2,2
45,2,2
46,3,2
47,3,4
48,2,2
49,3,2
50,2,3
51,2,2
52,2,2
53,2,2
54,4,3
55,4,11
56,2,2
57,2,2
58,2,3
59,2,3
60,2,3
61,3,2
62,4,2
63,5,2
64,10,5
65,2,4
66,3,2
67,3,2
68,3,3
69,4,2
70,3,3
71,5,2
72,4,13
73,2,26
74,2,3
75,2,12
76,5,2
77,3,3
78,2,2
79,2,3
80,2,6
81,2,2
82,3,3
83,2,2
84,2,4
85,6,2
86,2,2
87,3,2
88,2,26
89,7,2
90,2,3
91,2,2
92,2,2
93,2,2
94,2,3
95,3,3
96,3,3
97,3,2
98,2,3
99,2,2
100,2,3
101,2,2
102,3,7
103,10,2
104,3,2
105,4,2
106,2,2
107,2,2
108,3,2
109,2,2
110,2,12
111,2,2
112,2,2
113,3,2
114,2,14
115,2,2
116,2,3
117,3,12
118,2,2
119,2,2
120,2,2
121,6,2
122,2,2
123,2,2
124,5,2
125,2,2
126,2,2
127,2,2
128,6,2
129,31,6
130,4,2
131,3,2
132,2,2
133,12,2
134,2,2
135,9,2
136,2,2
137,49,6
138,2,5
139,4,2
140,4,2
141,8,2
142,5,5
143,3,6
144,8,5
145,2,7
146,3,6
147,3,2
148,2,3
149,3,2
150,3,4
151,3,2
152,3,6
153,3,7
154,3,5
155,2,2
156,2,2
157,4,2
158,2,3
159,2,5
160,7,2
161,2,2
162,4,2
163,3,4
164,2,13
165,3,2
166,8,5
167,2,2
168,3,5
169,5,2
170,3,2
171,5,2
172,3,11
173,2,8
174,2,2
175,6,6
176,5,2
177,4,5
178,3,6
179,2,2
180,2,13
181,2,2
182,3,2
183,2,2
184,2,3
185,5,2
186,2,6
187,2,2
188,2,2
189,2,2
190,4,2
191,2,2
192,4,2
193,2,2
194,2,2
195,2,17
196,2,13
197,3,2
198,3,2
199,3,2
200,4,2
201,41,6
202,5,2
203,2,2
204,2,2
205,2,2
206,2,2
207,2,2
208,4,2
209,2,2
210,3,2
211,2,5
212,2,2
213,3,2
214,3,2
215,11,2
216,3,2
217,5,2
218,3,2
219,2,2
220,2,2
221,3,15
222,4,2
223,9,2
224,2,2
225,2,2
226,10,14
227,3,2
228,2,2
229,2,3
230,6,2
231,5,2
232,18,2
233,19,2
234,3,2
235,5,2
236,10,2
237,13,2
238,10,2
239,2,2
240,9,2
241,3,2
242,5,2
243,2,2
244,2,6
245,2,2
246,2,2
247,5,2
248,2,2
249,2,2
250,5,2
251,6,3
252,3,2
253,2,2
254,2,6
255,3,19
256,2,2
257,2,9
258,9,14
259,4,2
